,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
67,3921353,磁盘阵列中档,戴尔,Dell Storage SC4020,上海国家会计学院,1,335164.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,335164.0,2016
68,3919405,磁盘阵列中档,Infortrend（普安）,ESDS 1024,同济大学,1,73690.0,上海有卅信息科技有限公司,2016-08-02,18:00:20,73690.0,2016
69,3919363,磁盘阵列中档,曙光,DS600-G,中国气象局上海台风研究所,2,113100.0,上海盛举信息科技有限公司,2016-06-29,20:15:17,226200.0,2016
70,3918745,磁盘阵列中档,EMC,VNX5400,江苏出入境检验检疫局,2,229441.0,上海承蓝科技股份有限公司,2016-04-25,11:39:31,458882.0,2016
71,3917189,磁盘阵列中档,惠普,HP StoreServ 7200C,上海国际旅行卫生保健中心,1,355860.0,上海汇策电子系统集成有限公司,2016-04-21,10:50:10,355860.0,2016
72,3921335,机架式服务器高档,戴尔,Dell PowerEdge R930,上海出入境边防检查总站,12,47433.0,上海合联电子科技有限公司,2016-04-26,14:58:18,569196.0,2016
73,3919359,机架式服务器高档,曙光,I840-G,国家海洋局东海标准计量中心,2,62920.0,萃群实业（上海）有限公司,2016-07-04,14:22:29,125840.0,2016
74,3917173,机架式服务器高档,惠普,DL580 Gen9,国家海洋局东海信息中心,1,194561.0,上海蕊心信息科技有限公司,2016-05-26,11:20:21,194561.0,2016
75,3917173,机架式服务器高档,惠普,DL580 Gen9,国家海洋局东海信息中心,2,194561.0,上海蕊心信息科技有限公司,2016-05-26,11:19:15,389122.0,2016
76,3917173,机架式服务器高档,惠普,DL580 Gen9,上海国际旅行卫生保健中心,4,194561.0,上海汇策电子系统集成有限公司,2016-04-21,15:29:55,778244.0,2016
77,3921338,机架式服务器中、低档,戴尔,Dell PowerEdge R730,上海市气象科学研究所,3,15735.0,上海港讯电子科技有限公司,2016-08-02,17:01:01,47205.0,2016
78,3921337,机架式服务器中、低档,戴尔,Dell PowerEdge R630,中国科学院上海应用物理研究所,2,16913.0,上海山屹实业有限公司,2016-04-20,10:39:38,33826.0,2016
79,3919360,机架式服务器中、低档,曙光,I620-G,上海中心气象台,1,17420.0,上海盛举信息科技有限公司,2016-07-22,12:53:39,17420.0,2016
80,3919360,机架式服务器中、低档,曙光,I620-G,中国气象局上海台风研究所,5,17420.0,上海盛举信息科技有限公司,2016-06-29,20:16:52,87100.0,2016
81,3919360,机架式服务器中、低档,曙光,I620-G,中国气象局上海台风研究所,6,17420.0,上海盛举信息科技有限公司,2016-06-29,20:15:46,104520.0,2016
82,3919360,机架式服务器中、低档,曙光,I620-G,中国气象局上海台风研究所,1,17420.0,上海盛举信息科技有限公司,2016-06-29,20:14:00,17420.0,2016
83,3919360,机架式服务器中、低档,曙光,I620-G,中国气象局上海台风研究所,1,17420.0,上海盛举信息科技有限公司,2016-06-22,12:54:52,17420.0,2016
84,3919103,机架式服务器中、低档,PowerLeader（宝德）,PR2510G2,中国科学院上海有机化学研究所,17,35214.0,上海极有网络科技有限公司,2016-05-05,16:54:37,598638.0,2016
85,3919100,机架式服务器中、低档,PowerLeader（宝德）,PR2012GS1-CD1,中国科学院上海有机化学研究所,2,47110.0,上海极有网络科技有限公司,2016-05-05,16:54:37,94220.0,2016
86,3918579,机架式服务器中、低档,Lenovo systemX,System x3650M5,江苏省气象局,2,25773.0,上海群立电脑科技有限公司,2016-07-13,17:40:09,51546.0,2016
87,3918579,机架式服务器中、低档,Lenovo systemX,System x3650M5,北京医院,1,25773.0,上海从维信息技术有限公司,2016-07-12,11:14:14,25773.0,2016
88,3918579,机架式服务器中、低档,Lenovo systemX,System x3650M5,北京医院,1,25773.0,上海从维信息技术有限公司,2016-07-12,11:13:39,25773.0,2016
89,3917505,机架式服务器中、低档,华为,RH2288 V3+2*E5-2609V3处理器+16GB DDR4内存,中国科学院上海光学精密机械研究所,2,26970.26,上海山屹实业有限公司,2016-07-11,11:33:06,53940.52,2016
