3727085 中国民用航空局信息中心 2 33,634.00 上海爱可生信息技术股份有限公司 2015-09-14 14:42:26 
3727085 中国人民银行集中采购中心 2 33,644.00 上海爱可生信息技术有限公司 2014-12-29 15:49:17 
3922753 中国科学院上海硅酸盐研究所 1 4,750.00 上海群立电脑科技有限公司 2016-05-17 14:18:34 
3922410 同济大学 6 6,450.00 上海同济科教技术物资有限公司 2016-06-22 17:31:02 
3922144 同济大学 2 7,180.00 上海同济科教技术物资有限公司 2016-07-18 08:42:02 
3921988 同济大学 2 6,650.00 上海同济科教技术物资有限公司 2016-05-09 07:58:45 
3921975 中国科学院上海硅酸盐研究所 1 7,280.00 北京业成达科贸有限公司 2016-03-04 16:52:11 
3922768 中国科学院上海光学精密机械研究所 1 6,000.00 北京中佳宏威科技有限公司 2016-05-06 16:45:07 
3922387 农业部东海区渔政局 1 5,080.00 上海同济科教技术物资有限公司 2016-05-19 14:26:40 
3922141 上海财经大学 1 7,050.00 上海复旦科教器材服务有限公司 2016-06-16 15:15:31 
3922729 中国科学技术大学上海研究院（上海中科大量子工程卓越中心） 1 4,824.00 上海群立电脑科技有限公司 2016-07-13 15:24:13 
3922767 同济大学 4 5,450.00 上海群立电脑科技有限公司 2016-06-28 10:46:34 
3922739 中国科学技术大学上海研究院（上海中科大量子工程卓越中心） 1 3,490.00 上海群立电脑科技有限公司 2016-07-13 09:56:16 
3922739 中国科学院上海硅酸盐研究所 1 3,490.00 萃群实业（上海）有限公司 2016-07-08 16:13:52 
3922746 浙江立德产品技术有限公司 2 3,850.00 上海群立电脑科技有限公司 2016-05-18 11:19:54 
3922399 中国科学院上海硅酸盐研究所 1 3,500.00 上海同济科教技术物资有限公司 2016-05-13 10:01:19 
3922154 农业部东海区渔政局 3 6,000.00 上海易颜居网络科技有限公司 2016-05-31 09:06:59 
3921983 同济大学 6 3,990.00 上海同济科教技术物资有限公司 2016-05-13 16:33:45 
3922393 同济大学 4 5,400.00 上海同济科教技术物资有限公司 2016-05-17 07:39:37 
3922392 中国科学院上海光学精密机械研究所 3 5,800.00 上海同济科教技术物资有限公司 2016-06-28 08:08:36 
3922131 上海财经大学 4 5,900.00 上海同济科教技术物资有限公司 2016-07-15 07:55:59 
3922131 中国科学院上海光学精密机械研究所 2 5,900.00 萃群实业（上海）有限公司 2016-07-13 15:04:12 
3922128 中国科学院上海天文台 1 3,999.00 上海群立电脑科技有限公司 2016-07-04 15:28:01 
3922128 中国科学院上海硅酸盐研究所 1 3,999.00 北京众和永业科技发展有限公司 2016-06-14 15:14:00 
3922130 上海财经大学 1 5,400.00 上海中隽电子科技发展有限公司 2016-07-13 14:17:22 
3922134 同济大学 1 4,980.00 上海同济科教技术物资有限公司 2016-07-01 08:07:27 
3922134 同济大学 94 4,980.00 上海港讯电子科技有限公司 2016-06-28 17:07:02 
3922134 上海交通大学招投标与政府采购办公室 2 4,980.00 上海同济科教技术物资有限公司 2016-06-23 09:16:46 
3922019 中国科学院上海硅酸盐研究所 1 4,500.00 北京浩普诚华科技有限公司 2016-05-10 09:49:23 
3921978 中国科学院上海光学精密机械研究所 1 5,498.00 萃群实业（上海）有限公司 2016-05-09 13:59:32 
3921977 中国科学院上海高等研究院 4 5,998.00 萃群实业（上海）有限公司 2016-05-09 10:46:43 
3922137 同济大学 5 7,450.00 上海同济科教技术物资有限公司 2016-06-03 08:42:51 
3922137 同济大学 1 7,450.00 上海同济科教技术物资有限公司 2016-06-03 08:40:33 
